attendance_id,member_id,check_in,check_out
1,1,2024-01-31 09:00:00,2024-01-31 11:00:00
2,1,2024-01-10 06:00:00,2024-01-10 07:00:00
3,1,2024-01-01 08:00:00,2024-01-01 09:00:00
4,1,2024-01-13 09:00:00,2024-01-13 11:00:00
5,1,2024-01-17 09:00:00,2024-01-17 10:00:00
6,1,2024-01-27 09:00:00,2024-01-27 10:00:00
7,1,2024-01-31 06:00:00,2024-01-31 08:00:00
8,1,2024-02-29 09:00:00,2024-02-29 11:00:00
9,1,2024-02-01 06:00:00,2024-02-01 08:00:00
10,1,2024-02-20 08:00:00,2024-02-20 10:00:00
11,2,2024-01-20 06:00:00,2024-01-20 07:00:00
12,2,2024-02-12 08:00:00,2024-02-12 09:00:00
13,2,2024-01-19 06:00:00,2024-01-19 07:00:00
14,2,2024-02-27 08:00:00,2024-02-27 09:00:00
15,2,2024-01-24 06:00:00,2024-01-24 07:00:00
16,2,2024-02-27 06:00:00,2024-02-27 07:00:00
17,2,2024-01-26 06:00:00,2024-01-26 07:00:00
18,2,2024-02-20 09:00:00,2024-02-20 11:00:00
19,2,2024-02-04 08:00:00,2024-02-04 09:00:00
20,2,2024-02-29 07:00:00,2024-02-29 08:00:00
21,2,2024-01-02 07:00:00,2024-01-02 09:00:00
22,3,2024-01-26 09:00:00,2024-01-26 10:00:00
23,3,2024-02-01 06:00:00,2024-02-01 08:00:00
24,3,2024-02-19 09:00:00,2024-02-19 10:00:00
25,3,2024-01-30 08:00:00,2024-01-30 10:00:00
26,3,2024-02-20 08:00:00,2024-02-20 09:00:00
27,3,2024-01-08 09:00:00,2024-01-08 10:00:00
28,3,2024-02-05 09:00:00,2024-02-05 11:00:00
29,3,2024-01-12 07:00:00,2024-01-12 09:00:00
30,3,2024-01-09 08:00:00,2024-01-09 10:00:00
31,3,2024-02-20 07:00:00,2024-02-20 09:00:00
32,3,2024-02-27 06:00:00,2024-02-27 08:00:00
33,3,2024-02-20 08:00:00,2024-02-20 10:00:00
34,3,2024-01-20 07:00:00,2024-01-20 09:00:00
35,3,2024-02-10 08:00:00,2024-02-10 09:00:00
36,4,2024-01-17 06:00:00,2024-01-17 07:00:00
37,4,2024-02-16 09:00:00,2024-02-16 11:00:00
38,4,2024-02-12 06:00:00,2024-02-12 07:00:00
39,4,2024-01-23 07:00:00,2024-01-23 09:00:00
40,4,2024-01-09 06:00:00,2024-01-09 07:00:00
41,4,2024-01-01 07:00:00,2024-01-01 09:00:00
42,4,2024-01-26 06:00:00,2024-01-26 08:00:00
43,4,2024-02-04 06:00:00,2024-02-04 08:00:00
44,5,2024-01-04 09:00:00,2024-01-04 11:00:00
45,5,2024-01-02 08:00:00,2024-01-02 10:00:00
46,5,2024-01-14 09:00:00,2024-01-14 10:00:00
47,5,2024-01-24 09:00:00,2024-01-24 10:00:00
48,5,2024-01-28 06:00:00,2024-01-28 07:00:00
49,5,2024-02-07 08:00:00,2024-02-07 10:00:00
50,5,2024-01-16 08:00:00,2024-01-16 10:00:00
51,5,2024-01-16 07:00:00,2024-01-16 09:00:00
52,5,2024-02-01 09:00:00,2024-02-01 11:00:00
53,5,2024-01-23 07:00:00,2024-01-23 08:00:00
54,5,2024-01-06 06:00:00,2024-01-06 08:00:00
55,5,2024-02-17 06:00:00,2024-02-17 07:00:00
56,6,2024-01-27 06:00:00,2024-01-27 07:00:00
57,6,2024-01-01 08:00:00,2024-01-01 09:00:00
58,6,2024-01-26 09:00:00,2024-01-26 10:00:00
59,6,2024-01-31 07:00:00,2024-01-31 09:00:00
60,6,2024-01-24 09:00:00,2024-01-24 11:00:00
61,6,2024-01-08 09:00:00,2024-01-08 10:00:00
62,7,2024-02-14 07:00:00,2024-02-14 08:00:00
63,7,2024-02-28 08:00:00,2024-02-28 10:00:00
64,7,2024-02-03 09:00:00,2024-02-03 10:00:00
65,7,2024-02-05 06:00:00,2024-02-05 07:00:00
66,7,2024-01-04 08:00:00,2024-01-04 10:00:00
67,7,2024-01-23 06:00:00,2024-01-23 07:00:00
68,7,2024-01-29 06:00:00,2024-01-29 08:00:00
69,7,2024-01-17 09:00:00,2024-01-17 10:00:00
70,7,2024-02-17 09:00:00,2024-02-17 10:00:00
71,7,2024-02-22 08:00:00,2024-02-22 09:00:00
72,7,2024-02-01 09:00:00,2024-02-01 11:00:00
73,7,2024-01-17 08:00:00,2024-01-17 10:00:00
74,7,2024-02-16 09:00:00,2024-02-16 11:00:00
75,7,2024-01-10 07:00:00,2024-01-10 08:00:00
76,8,2024-02-03 06:00:00,2024-02-03 07:00:00
77,8,2024-02-26 09:00:00,2024-02-26 11:00:00
78,8,2024-02-24 08:00:00,2024-02-24 10:00:00
79,8,2024-01-01 06:00:00,2024-01-01 08:00:00
80,8,2024-02-24 06:00:00,2024-02-24 08:00:00
81,8,2024-02-16 06:00:00,2024-02-16 08:00:00
82,8,2024-01-21 08:00:00,2024-01-21 09:00:00
83,8,2024-02-01 08:00:00,2024-02-01 09:00:00
84,9,2024-02-05 09:00:00,2024-02-05 11:00:00
85,9,2024-01-18 06:00:00,2024-01-18 08:00:00
86,9,2024-01-20 06:00:00,2024-01-20 08:00:00
87,9,2024-02-22 08:00:00,2024-02-22 10:00:00
88,9,2024-01-26 07:00:00,2024-01-26 08:00:00
89,9,2024-02-03 06:00:00,2024-02-03 07:00:00
90,9,2024-03-01 06:00:00,2024-03-01 07:00:00
91,9,2024-02-26 08:00:00,2024-02-26 09:00:00
92,9,2024-01-26 09:00:00,2024-01-26 10:00:00
93,9,2024-02-01 06:00:00,2024-02-01 08:00:00
