member_id,trainer_id,assigned_date
1,37,2024-04-09
2,13,2024-05-03
3,42,2024-01-25
4,30,2024-06-18
5,46,2024-03-04
6,50,2024-06-03
7,35,2024-02-19
8,20,2024-01-28
9,49,2024-05-12
10,22,2024-02-13
11,36,2024-05-12
12,14,2024-04-03
13,1,2024-03-11
14,41,2024-05-01
15,25,2024-06-22
16,24,2024-01-06
17,42,2024-02-15
18,46,2024-01-04
19,22,2024-05-12
20,48,2024-05-04
21,14,2024-01-20
22,21,2024-04-19
23,48,2024-05-20
24,9,2024-06-04
25,50,2024-03-14
26,36,2024-01-07
27,10,2024-02-17
28,26,2024-05-01
29,3,2024-06-01
30,21,2024-03-08
31,48,2024-02-10
32,47,2024-02-10
33,49,2024-03-13
34,27,2024-03-25
35,10,2024-02-22
36,29,2024-03-20
37,27,2024-04-13
38,1,2024-03-05
39,39,2024-03-24
40,36,2024-03-01
41,24,2024-06-15
42,26,2024-01-29
43,33,2024-03-15
44,35,2024-02-08
45,31,2024-03-14
46,4,2024-01-30
47,16,2024-01-14
48,50,2024-06-21
49,2,2024-04-27
50,30,2024-04-17
51,12,2024-02-06
52,18,2024-06-21
53,11,2024-06-01
54,37,2024-01-06
55,33,2024-03-30
56,41,2024-06-08
57,25,2024-04-04
58,19,2024-02-13
59,22,2024-01-08
60,17,2024-05-12
61,47,2024-03-05
62,14,2024-03-01
63,33,2024-06-10
64,4,2024-06-24
65,40,2024-05-18
66,11,2024-05-04
67,16,2024-05-23
68,16,2024-03-01
69,21,2024-02-02
70,18,2024-02-12
71,43,2024-02-14
72,25,2024-06-14
73,14,2024-06-03
74,33,2024-06-26
75,49,2024-06-15
76,19,2024-01-25
77,10,2024-01-12
78,11,2024-03-15
79,5,2024-03-23
80,22,2024-05-05
81,21,2024-02-03
82,43,2024-04-04
83,2,2024-06-21
84,28,2024-05-14
85,46,2024-02-10
86,40,2024-03-05
87,30,2024-05-06
88,33,2024-05-27
89,20,2024-06-21
90,4,2024-02-06
91,9,2024-06-08
92,3,2024-03-11
93,46,2024-02-05
94,45,2024-03-22
95,17,2024-02-21
96,37,2024-03-28
97,18,2024-05-07
98,10,2024-03-28
99,30,2024-04-27
100,39,2024-03-04
101,21,2024-03-09
102,32,2024-01-18
103,22,2024-04-29
104,50,2024-05-02
105,22,2024-01-16
106,15,2024-03-01
107,11,2024-06-25
108,22,2024-01-13
109,37,2024-04-26
110,39,2024-03-07
111,11,2024-03-16
112,42,2024-03-24
113,25,2024-03-15
114,42,2024-03-15
115,10,2024-02-10
116,11,2024-02-10
117,11,2024-02-01
118,32,2024-01-04
119,25,2024-01-30
120,49,2024-05-24
121,19,2024-02-05
122,47,2024-06-18
123,41,2024-05-28
124,15,2024-04-30
125,31,2024-04-30
126,8,2024-04-04
127,10,2024-02-18
128,8,2024-06-03
129,30,2024-02-22
130,50,2024-02-24
131,35,2024-01-02
132,33,2024-01-21
133,22,2024-01-17
134,32,2024-04-25
135,23,2024-02-21
136,36,2024-02-03
137,36,2024-01-25
138,35,2024-05-22
139,30,2024-01-06
